text	label
5. 간은 기호에 맞게 소금을 넣어 맞춘 후 따뜻한 밥과 함께 즐겨주세요.	O O O O O O O O CV_SEASONING O O O O O O O CV_INGREDIENT O O O O O O
1. 묵은지는 흐르는 물에 깨끗이 씻어 물기를 제거해주세요. 길이로 4등분해주세요.	O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O O O O O O O O O
3. 볼에 달걀과 달걀 양념 재료를 넣어 섞어주세요. 달군 팬에 기름을 두른 후 달걀물을 부어 얇게 지단을 만들어주세요. 한 김 식힌 후 가늘게 채썰어주세요.	O O O O CV_INGREDIENT O CV_SEASONING O O O O O O O O O O O O O O CV_SEASONING O O O O CV_SEASONING O O O O O CV_INGREDIENT O O O O O O O O O O O O O O O O O O O
4. 볼에 밥과 밥 양념 재료를 넣어 골고루 섞어주세요.	O O O O CV_INGREDIENT O O O O O O O O O O O O O
5. 김발에 김을 올리고 밥을 고르게 펴주세요. 묵은지와 볶은 어묵, 채 썬 지단을 올려 김밥을 단단하게 말아주세요.	O O CV_INGREDIENT O O O O O O CV_INGREDIENT O O O O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O CV_INGREDIENT O O O CV_INGREDIENT O O CV_INGREDIENT O O O O O O O O O
6. 김밥을 먹기 좋은 크기로 잘라 맛있게 즐겨주세요.	O O CV_INGREDIENT O O O O O O O O O O O O O
1. 볼에 달걀을 풀은 후 소금을 넣어 섞어주세요.	O O O O CV_INGREDIENT O O O O CV_SEASONING O O O O O O O O
2. 순두부는 2cm 길이로 잘라주세요. 대파와 청양고추는 송송 썰어주세요. 	O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O O O O O O O O
3. 냄비에 순두부를 가지런히 두고 멸치다시마물을 부어 끓으면 새우젓과 다진 마늘을 넣고 뚜껑을 닫아 끓여주세요.	O O O O CV_INGREDIENT CV_INGREDIENT O O O O O CV_SEASONING CV_SEASONING CV_SEASONING CV_SEASONING O O O O O O CV_SEASONING CV_SEASONING O CV_STATE CV_INGREDIENT O O O O O O O O O O O
(끓으면서 생기는 거품은 걷어주세요)	O O O O O O O O O O O O
4. 끓으면 순두부 주변으로 달걀을 조금씩 붓고 살살 저어주세요.	O O O O O CV_INGREDIENT CV_INGREDIENT O O CV_INGREDIENT O O O O O O O O O O O O
5. 대파와 청양고추를 넣고 후춧가루를 뿌려 맛있게 즐겨주세요.	O O CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O O O CV_SEASONING CV_SEASONING O O O O O O O O
(기호에 따라 소금이나 새우젓으로 간을 조절해주세요)	O O O O CV_SEASONING O CV_SEASONING CV_SEASONING O O O O O O O O
1. 깨끗이 씻은 미나리는 5~7cm 길이로 먹기 좋게 썰어주세요. 새송이버섯은 편으로 얇게 썰어주세요.	O O O O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O
2. 양파는 굵게 다지고 청양고추는 어슷하게 썰어주세요. 마늘은 편으로 썰어주세요.	O O CV_INGREDIENT O O O O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O CV_INGREDIENT O O O O O O O O
3. 작은 스테인리스 소스볼에 소스 양념 재료를 넣고 썰어 놓은 양파와 마늘, 청양고추를 넣어 주세요.	O O O O O O O O O O O O O O O O O CV_INGREDIENT O CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O O O O O O
4. 달군 팬에 삼겹살과 새송이버섯을 구워주세요.	O O O O O O CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O
5. 멜젓소스는 삼겹살과 함께 팬에서 끓여주세요. 구워진 삼겹살은 먹기 좋게 썰어주세요.	O O CV_SEASONING CV_SEASONING CV_SEASONING O CV_INGREDIENT O O O O O O O O O CV_STATE CV_STATE CV_INGREDIENT O O O O O O O O O O
6. 그릇에 미나리를 소복하게 올리고 멜젓소스와 구운 삼겹살, 새송이버섯을 담아 맛있게 즐겨주세요.	O O O O CV_INGREDIENT CV_INGREDIENT O O O O O O O CV_SEASONING CV_SEASONING CV_SEASONING O CV_STATE CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O
2. 식초 또는 베이킹소다를 넣은 물로 살균한 비타민은 흐르는 물에 씻고, 초록 잎만 잘라 준비해주세요.	O O CV_SEASONING O CV_SEASONING CV_SEASONING CV_SEASONING CV_SEASONING O O O CV_SEASONING O O O CV_INGREDIENT O O O O O O O O CV_INGREDIENT CV_INGREDIENT O O O O O O O
4. 믹서기에 닭고기와 비타민, 불린 쌀을 각각 넣고 물을 약간씩 더해 곱게 갈아주세요.	O O O O O CV_INGREDIENT O CV_INGREDIENT O O CV_INGREDIENT O O O O CV_SEASONING O O O O O O O O O O
6. 완성된 미음은 3회분으로 나눠 용기에 담아주세요.	O O O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O
2. 양파와 당근은 굵게 채썰고, 대파는 어슷하게 썰어 양념한 고기와 섞어주세요.	O O CV_INGREDIENT O CV_INGREDIENT O O O O O O O CV_INGREDIENT O O O O O O O CV_STATE CV_STATE CV_INGREDIENT O O O O O O
3. 달군 팬에 양념한 쇠고기와 야채를 넣어 볶다가, 고기와 야채가 익으면 불을 끄고 참기름을 뿌려주세요.	O O O O O O CV_STATE CV_STATE CV_INGREDIENT O CV_INGREDIENT O O O O O O CV_INGREDIENT O CV_INGREDIENT O O O O O O O O CV_SEASONING O O O O O
4. 접시에 쇠고기불고기를 담고 통깨를 뿌려 마무리해주세요.	O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O CV_SEASONING CV_SEASONING O O O O O O O
 1. 도라지는 흐르는 물에 깨끗이 씻어 흙을 제거한 후 껍질을 벗겨주세요.	O O CV_INGREDIENT O O O O O O O O O O O O O O O O O O O
2. 껍질을 제거한 도라지는 0.5cm 두께로 송송 썰고, 배는 껍질을 벗기고 씨를 제거한 후 한 입 크기로 썰어주세요.	O O CV_STATE CV_STATE CV_STATE CV_STATE CV_INGREDIENT O O O O O O O O O O O O O CV_INGREDIENT O O O O O O O O O O O O O O O O O O O
1. 무는 2센치 두께로 동그랗게 자른 후 모서리를 다듬고 홍고추, 청양고추와 대파는 어슷하게 썰어주세요.	O O CV_INGREDIENT O O O O O O O O O O O O O O O O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT O O O O O O O O O O
4. 홍고추, 청양고추, 대파를 넣고 국물이 자작해지면 불을 꺼주세요.	O O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT O O O O O O O O O O O O O O O
5. 반찬과 안주로 맛있게 즐겨주세요.	O O O O O O O O O O O O
1. 깨끗하게 씻은 가지는 꼭지부분을 자르고 길이대로 4등분 한 후, 6cm길이로 먹기 좋게 썰어주세요. 청,홍고추는 얇게 송송 썰어 물에 살짝 담궈 씨를 빼주세요. 양파는 얇게 슬라이스해주세요.	O O O O O O O CV_INGREDIENT O O O O O O O O O O O O O CV_INGREDIENT O O O O O O O O O O O O O O O CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O O O O O O O CV_SEASONING O O O O O O O O O O CV_INGREDIENT O O O O O O O O O
3. 냉국물 재료는 모두 섞어 냉동실에 넣고 차갑게 식혀주세요.	O O O O O O O O O O O O O O O O O O O O O O
4. 찐가지는 한 김 식힌 후 가지양념 재료를 넣어 밑간 해주세요.	O O CV_STATE O O O O O O O CV_INGREDIENT O O O O O O O O O O O O
5. 그릇에 밑간한 가지와 차게 식힌 냉국물, 얼음을 넣고 마지막에 통깨를 뿌려주세요.	O O O O CV_STATE CV_STATE CV_STATE CV_INGREDIENT O CV_STATE CV_STATE CV_STATE CV_STATE CV_SEASONING CV_SEASONING CV_SEASONING O CV_SEASONING O O O O O CV_SEASONING CV_SEASONING O O O O O
6. 취향에 따라 참기름을 약간 넣어 맛있게 즐겨주세요.	O O O O O CV_SEASONING O O O O O O O O O O
1. 주꾸미는 머리 부분을 뒤집어 먹통과 내장을 떼어낸 후, 굵은소금과 밀가루를 넣고 문질러 씻어주세요.	O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O CV_STATE CV_SEASONING O O O CV_SEASONING O O O O O O O O O O
3. 양파는 굵게 채를 썰고 당근은 먹기 좋게 썰어주세요. 대파와 홍고추, 청양고추는 어슷하게 썰고 세발나물은 먹기 좋게 잘라 깨끗이 씻고 실파는 송송 썰어주세요.	O O CV_INGREDIENT O O O O O O O CV_INGREDIENT O O O O O O O O O O CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O O O O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O
4. 달군 팬에 식용유를 두르고 대파를 볶고, 향이 올라오면 양파와 당근을 넣어 볶다가 양념한 주꾸미와 홍고추, 청양고추를 넣고 고루 섞이도록 빠르게 볶아주세요. 마지막에 참기름과 통깨를 뿌려주세요.	O O O O O O CV_SEASONING O O O CV_INGREDIENT O O O O O O O O CV_INGREDIENT O CV_INGREDIENT O O O O O CV_STATE CV_STATE CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O CV_SEASONING O CV_SEASONING CV_SEASONING O O O O O
5. 볼에 밥을 담은 후 세발나물과 주꾸미볶음을 얹고, 송송 썬 실파와 통깨와 뿌려주세요.	O O O O CV_INGREDIENT O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O CV_STATE CV_STATE CV_STATE CV_INGREDIENT CV_INGREDIENT O CV_SEASONING CV_SEASONING O O O O O
1. 당근과 실파는 잘게 자르고, 볼에 달걀을 넣고 젓가락으로 저어 푼 후 야채와 달걀물 재료를 넣고 섞어주세요.	O O CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O O O O O O O O CV_INGREDIENT O O O O O O O O O CV_INGREDIENT O O O O O O O O O O O O
3. 말아진 달걀을 팬 위쪽으로 밀어놓고, 달걀물을 다시 부어 3회 정도 같은 방법으로 반복해서 달걀을 말아주세요.	O O CV_STATE CV_STATE CV_STATE CV_INGREDIENT O O O O O O O O O CV_SEASONING CV_SEASONING O O O O O O O O O O O O O CV_INGREDIENT O O O O O O
4. 달걀말이를 먹기좋은 크기로 잘라주세요.	O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O
(따뜻할 때 김발에 싸서 모양을 잡고 썰어주셔도 좋답니다.) 	O O O O O O O O O O O O O O O O O O O O O O
5. 알맞은 그릇에 담아 맛있게 즐겨주세요.	O O O O O O O O O O O O O O
1. 아귀는 주둥이와 아가미, 내장을 제거한 후 먹 기좋은 크기로 잘라서 깨끗이 씻고 핏기를 빼주세요. 미더덕은 소금물에 흔들어 씻은 후 체에 밭쳐 물기를 빼 주세요.	O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O CV_SEASONING CV_SEASONING O O O O O O O O O O O O O O O O
4. 볼에 양념장 재료를 넣고 섞어 양념장을 만들고 녹말물 재료를 섞어 녹말물을 만들어주세요.	O O O O CV_SEASONING CV_SEASONING O O O O O O O O O O O CV_SEASONING CV_SEASONING CV_SEASONING O O O O O O O O O O O O O
(기호에 따라 약간의 구운 소금을 넣어 간을 맞춰주세요.)	O O O O O O O CV_SEASONING O O O O O O O O O O
7. 접시에 아귀찜을 담고 통깨를 뿌려 주세요.	O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O CV_SEASONING CV_SEASONING O O O O O
2. 삶은 시래기나물은 물에 헹군 후, 줄기부분에 겉껍질을 제거하고 먹기 좋은 길이로 썰어 나물양념에 밑간을 해주세요.	O O CV_STATE CV_STATE CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O O O O O O O O O CV_SEASONING CV_SEASONING CV_SEASONING O O O O O O O O
표고버섯은 먹기 좋은 크기로 자르고, 부추는 송송 썰고 홍고추는 잘게 다져주세요.   	CV_INGREDIENT CV_INGREDIENT O O O O O O O O O CV_INGREDIENT O O O O O CV_INGREDIENT CV_INGREDIENT O O O O O O O
4. 부추와 홍고추를 양념간장 재료와 섞어 시래기나물밥에 곁들여주세요.	O O CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O O O O O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O
1. 무는 나박 썰고 대파와 고추는 어슷하게 썰어주세요. 	O O CV_INGREDIENT O O O O O CV_INGREDIENT O CV_INGREDIENT O O O O O O O O O O
2. 두부는 깍뚝 썰어주세요.	O O CV_INGREDIENT O O O O O O O O
5. 두부를 넣어주세요. 	O O CV_INGREDIENT O O O O O O
6. 마지막에 대파와 고추를 넣어 한소끔 더 끓여 완성해주세요.	O O O O CV_INGREDIENT O CV_INGREDIENT O O O O O O O O O O O O O
1. 양배추는 채를 썰어 깨끗이 씻은 후 체에 밭쳐 물기를 빼주세요. 당근도 양배추와 비슷한 크기로 채를 썰어주세요.	O O CV_INGREDIENT O O O O O O O O O O O O O O O O O O O CV_INGREDIENT O CV_INGREDIENT O O O O O O O O O O O O
2. 베이컨은 1cm 두께로 자르고, 대파는 송송 썰어주세요.	O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O CV_INGREDIENT O O O O O O O O
(베이컨이 없을 경우 햄으로 대체 가능해요)	O CV_INGREDIENT CV_INGREDIENT O O O O CV_INGREDIENT O O O O O O
3. 볼에 양념 재료를 넣어 섞어주세요. 	O O O O O O O O O O O O O O
4. 달군 팬에 식용유를 살짝 두른 후 대파를 볶아 향을 낸 후 베이컨을 볶다가 당근, 양배추를 넣어 숨이 죽을 때까지 볶다가 섞어 둔 양념과 후춧가루를 넣어 볶아주세요.	O O O O O O CV_SEASONING O O O CV_SEASONING CV_INGREDIENT O O O O O O O CV_INGREDIENT CV_INGREDIENT O O O CV_INGREDIENT O CV_INGREDIENT O O CV_SEASONING O O O O O O O O O CV_SEASONING O CV_SEASONING O O O CV_SEASONING O O O O O O O O
5. 그릇에 밥을 담은 후 양배추 볶음을 얹은 후, 가운데 달걀을 올려 참기름과 통깨를 뿌린 후 완성해 주세요.	O O O O CV_INGREDIENT O O O O CV_INGREDIENT CV_INGREDIENT O O O O O O CV_INGREDIENT O O CV_SEASONING O CV_SEASONING CV_SEASONING O O O O O O O O
2. 생취나물은 질긴 잎과 굵은 줄기 부분을 자르고 깨끗이 씻어주세요. 손질한 생취나물을 끓는 물에 살짝 데치고 건져 물기를 짜주세요. 먹기 좋은 크기로 썰어주세요  취나물 밑간 재료를 넣어 조물조물 무쳐주세요.	O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O O O CV_STATE CV_STATE CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3. 표고버섯은 밑동 부분을 자르고 먹기 좋게 썰어 주세요. 미니당근은 먹기 좋게 송송 썰어주세요. 	O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O
3. 표고버섯과 대파는 잘게 썰어주세요. 	O O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT O O O O O O O O
5. 만두피에 만두소를 적당히 넣고 만두피 둘레에 약간의 물을 발라가며 붙인 후 주름을 잡아 만두를 빚어주세요.	O O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O O O O CV_INGREDIENT CV_INGREDIENT O O O O CV_SEASONING O O O O O O O O O CV_INGREDIENT O O O O O O
1. 배추는 깨끗이 씻은 후 물기를 제거해 주세요.	O O CV_INGREDIENT O O O O O O O O O O O O
2. 볼에 반죽 재료를 넣어 섞어주세요.	O O O O O O O O O O O O O O
무의 물기를 제거해주세요. 달군 팬에 기름을 두른 후 무채를 넣고 무가 투명해질 때 까지 볶아주세요.	CV_INGREDIENT O O O O O O O O O O O O CV_SEASONING O O O CV_INGREDIENT CV_INGREDIENT O O O CV_INGREDIENT O O O O O O O O O O O
4. 배춧잎에 앞뒤로 밀가루를 가볍게 묻힌 후, 섞어 둔 반죽을 묻혀주세요.	O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O CV_SEASONING O O O O O O O O O O O O O O O
5. 달군 팬에 기름을 넉넉히 두르고 배추를 올려 앞뒤로 노릇하게 구워주세요.	O O O O O O CV_SEASONING O O O O O CV_INGREDIENT O O O O O O O O O O O O
6. 배추 위에 볶은 무를 적당량 넣어 돌돌 말아주세요. 볼에 양념장 재료를 넣어 섞어주세요.	O O CV_INGREDIENT O O CV_STATE CV_STATE CV_INGREDIENT O O O O O O O O O O O O O O O O O O O O O O O O O
7. 적당한 크기로 잘라 양념장을 곁들여 맛있게 즐겨주세요.	O O O O O O O CV_SEASONING CV_SEASONING O O O O O O O O
1. 쇠고기는 종이타월에 감싸 핏물을 빼주세요.	O O CV_INGREDIENT O O O O O O O O O O O O O
2. 양파는 곱게 채 썰고, 우엉은 껍질째 깨끗이 씻어 곱게 채 썬 뒤 찬물에 담가 쓰기 바로 전에 물기를 빼주세요.	O O CV_INGREDIENT O O O O O O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O O O O O O O O O O
3. 대파는 얇게 어슷썰기하고, 붉은 고추는 세로로 반을 갈라 씨를 훑은 뒤 가로로 2등분해 곱게 채 썰어주세요.	O O CV_INGREDIENT O O O O O O O O O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O O O O O O O O O O
4. 분량의 잡채밥 양념 재료를 모두 섞어주세요.	O O O O O O O O O O O O O O O O
5. 팬에 포도씨유를 두르고 우엉채를 넣어 볶아주세요.	O O O O CV_SEASONING CV_SEASONING CV_SEASONING O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O
(이때 물을 약간 넣으면 부드럽게 잘 익힐 수 있어요.)	O O CV_SEASONING O O O O O O O O O O O O O O O
6. 우엉이 반 이상 익으면 쇠고기를 넣어 살짝 볶아주세요.	O O CV_INGREDIENT CV_INGREDIENT O O O O O O CV_INGREDIENT O O O O O O O O O
그리고 양파채와 고추채를 넣어 한번 더 가볍게 볶아주세요.	O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O
7. 쇠고기가 익으면 STEP4의 양념을 넣어주세요.	O O CV_INGREDIENT O O O O O O O O O CV_SEASONING O O O O O O
8. 고루 섞어가며 볶아 양념이 줄어들면 불을 끄고 대파를 넣어 가볍게 섞어주세요.	O O O O O O O O CV_SEASONING O O O O O O O O CV_INGREDIENT O O O O O O O O O O
9. 잡채를 밥 위에 얹고 기호에 따라 깨소금을 뿌려주세요.	O O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT O O O O O O O CV_SEASONING CV_SEASONING CV_SEASONING O O O O O
1. 깻잎과 양파, 대파는 곱게 채를 썰어주세요.(양파와 대파 채는 찬물에 담갔다가 물기를 빼주세요.) 무순은 밑부분을 자르고 물에 깨끗이 씻어 준비하고 홍고추는 반갈라 씨를 털어낸 후 어슷하게 채를 썰고 오이는 반 갈라 어슷하게 썰어주세요.	O O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT O O O O O O O O O O O CV_INGREDIENT O CV_INGREDIENT O O O O O O O O O O O O O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O O CV_INGREDIENT O O O O O O O O O O O O
2. 골뱅이는 먹기 좋은 크기로 잘라주세요. 볼에 겨자소스재료를 넣고 섞어 소스를 준비해주세요.	O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O O O O O CV_SEASONING O O O O O O
3. 볼에 골뱅이와 오이, 양파, 대파, 홍고추, 겨자소스를 넣어 가볍게 섞어주세요.	O O O O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT O CV_INGREDIENT O CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O CV_SEASONING CV_SEASONING O O O O O O O O O O
4. 접시에 골뱅이와 야채를 담고 깻잎채와 무순을 올리고 통깨를 뿌려주세요.	O O O O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O CV_SEASONING CV_SEASONING O O O O O
5. 장조림은 한 김 식힌 후 그릇에 담아 보관해주세요. 	O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O
6. 장조림 고기는 미리 찢어 두지 않고, 먹을 때 마다 결대로 먹기 좋게 찢어 내면 간이 세지지 않게 보관할 수 있답니다.	O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1. 표고버섯은 기둥을 떼어내고 0.5cm 두께로 슬라이스해 주세요. 기둥은 손으로 찢어주세요.	O O CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2. 양파와 당근, 파프리카는  채를 썰어 주세요.	O O CV_INGREDIENT O CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O O O O O O O O
4. 완성된 표고버섯 파프리카 볶음에 참기름을 두르고 통깨를 뿌려 맛있게 즐겨주세요.	O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O CV_SEASONING O O O CV_SEASONING CV_SEASONING O O O O O O O O
1. 고사리는 3cm 길이로 잘라주세요. 청양고추는 굵게 다져주세요. 대파는 송송 썰어주세요. 볼에 국수 양념 재료를 모두 섞어주세요.	O O CV_INGREDIENT O O O O O O O O O O CV_INGREDIENT CV_INGREDIENT O O O O O O O CV_INGREDIENT O O O O O O O O O O O O O O O O O O O O
4. 볼에 삶은 국수와 볶은 고사리, 양념장을 넣고 골고루 섞어주세요.	O O O O CV_STATE CV_STATE CV_INGREDIENT O CV_STATE CV_STATE CV_INGREDIENT O CV_SEASONING CV_SEASONING O O O O O O O O O
5. 그릇에 담아 달걀노른자와 다진 청양고추를 넣고 통깨를 뿌려주세요.	O O O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT CV_STATE CV_INGREDIENT CV_INGREDIENT O O O CV_SEASONING CV_SEASONING O O O O O
3. 4회분으로 나눠 용기에 담아주세요.	O O O O O O O O O O O O O O
1. 1.게맛살은 길게 가른 후 3등분 하고, 햄과 쪽파도 게맛살과 같은 길이로 썰어주세요. 새송이버섯은 밑동을 자른 후 삼등분하고, 게맛살 두께로 잘라주세요.	O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O
2. 나무꼬치에 게맛살-쪽파-새송이버섯-햄-쪽파-게맛살 순으로 꽂아주세요.	O O O O O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O
3. 볼에 달걀과 약간의 소금을 섞어 달걀물을 만들어주세요. 꼬치에 부침가루를 앞 뒤로 묻힌 후 털어내고, 달걀물을 묻혀주세요.	O O O O CV_INGREDIENT O O O CV_SEASONING O O O CV_SEASONING CV_SEASONING O O O O O O O O CV_SEASONING CV_SEASONING O O O O O O O O O O CV_SEASONING CV_SEASONING O O O O O
2. 1. 쇠고기는 키친타올에 올려 핏물을 뺀 후 약간의 소금, 후추를 뿌리고 참기름을 발라 밑간 해주세요.	O O O O CV_INGREDIENT O O O O O O O O O O O O O CV_SEASONING O CV_SEASONING O O O CV_SEASONING O O O O O O O O
2. 영양부추를 나눠 전에 올릴 고명용은 1cm 길이로 썰고, 곁들일 샐러드용은 5cm 길이로 썰어주세요. 양파는 얇게 채를 썰어주세요.	O O CV_INGREDIENT CV_INGREDIENT CV_INGREDIENT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O CV_INGREDIENT O O O O O O O O O O
